"Name","R.A.","Dec.","z","Type"
"SNLS-04D1pp","02:25:12.478","-04:42:05.70,-04:42:05.700","0.735,0.735","Ia"
"SNLS-04D1sa","02:27:56.159,02:27:56.161","-04:10:33.85,-04:10:33.850,-04:10:34.31","0.585,0.585","Ia"
"SNLS-04D1sk","02:24:22.778","-04:21:13.03,-04:21:13.030","0.6634,0.6634","Ia"
"SNLS-04D2cf","10:01:56.090,10:01:56.048,10:01:56.110","+01:52:46.12,+01:52:46.120,+01:52:45.90,+01:52:46.40","0.369,0.369","Ia"
"SNLS-04D2gb","10:02:22.668,10:02:22.712,10:02:22.676","+01:53:38.98,+01:53:38.980,+01:53:39.16,+01:53:39.34","0.45,0.43,0.43","Ia"
"SNLS-04D2gc","10:01:39.265,10:01:39.267,10:01:39.281","+01:52:58.99,+01:52:58.990,+01:52:59.52,+01:52:59.36","0.521,0.521","Ia"
"SNLS-04D3oe","14:19:39.384,14:19:39.381","+52:33:13.85,+52:33:13.850,+52:33:14.21","0.756,0.756","Ia"
"SNLS-04D4ih","22:17:17.025,22:17:17.041","-17:40:38.58,-17:40:38.580,-17:40:38.74","0.934,0.934","Ia"
"SNLS-04D4ii","22:15:55.632,22:15:55.645","-17:39:26.92,-17:39:26.920,-17:39:27.09","0.866,0.866","Ia"
"ESSENCEn263","02:05:14.95,02:05:14.946","-04:56:39.1,-04:56:39.08,-04:56:39.087","0.368,0.3671,0.368","Ia"
"PSc580072","10:00:07.829","+02:01:25.00","0.22416","Ia"
"SDSS-II SN 10299","22:49:03.36","+00:59:36.89,+00:59:36.787,+00:59:36.575","0.261248","Ia"
"SDSS-II SN 12804","01:12:48.408,01:12:48.36","+01:02:24.61,+01:02:24.612,+01:02:24.72","0.133717","Ia"
"SDSS-II SN 12924","01:08:45.768,01:08:45.72","+00:44:00.5532,+00:43:59.995","","Ia"
"SDSS-II SN 13323","21:32:12.304,21:32:12.24","-00:08:04.70,-00:08:05.136,-00:08:04.704,-00:08:04.6608,-00:08:05.1216","0.23262","Ia"
"SDSS-II SN 13495","03:41:10.584,03:41:10.56","+00:04:55.89,+00:04:55.56","","Ia"
"SDSS-II SN 13716","20:59:48.96","+00:29:18.539,+00:29:18.514,+00:29:18.251","0.322,0.284","Ia"
"SDSS-II SN 13931","01:51:52.512","-01:02:13.272,-01:02:13.524","","Ia"
"SDSS-II SN 14205","01:08:45.768,01:08:45.72","+00:44:00.5532,+00:43:59.995","0.253653","Ia"
"SDSS-II SN 14357","03:10:35.051,03:10:35.04","-00:56:16.93,-00:56:17.232,-00:56:16.9332,-00:56:17.0196,-00:56:17.2428","0.414,0.471,0.395","Ia"
"SDSS-II SN 14833","02:23:19.656,02:23:19.608","-00:25:04.1448,-00:25:04.44","","Ia"
"SDSS-II SN 15108","01:37:44.330,01:37:44.328,01:37:44.304","-00:32:29.54,-00:32:29.796,-00:32:29.544,-00:32:29.4828,-00:32:29.7888","0.420066","Ia"
"SDSS-II SN 15255","22:12:24","-00:15:32.5188,-00:15:32.6916,-00:15:32.868","0.302","Ia"
"SDSS-II SN 15309","20:38:55.2","+00:58:25.842,+00:58:25.514","","Ia"
"SDSS-II SN 15470","22:11:33.12","-00:02:46.824,-00:02:47.2344","0.233684","Ia"
"SDSS-II SN 15489","00:31:00.634,00:31:00.624,00:31:00.6336,00:31:00.6312","-00:04:15.41,-00:04:15.708,-00:04:15.4092,-00:04:15.7008","0.365,0.347,0.302,0.443","Ia"
"SDSS-II SN 15525","03:26:06.648,03:26:06.624","+01:07:50.97,+01:07:50.592,+01:07:50.952,+01:07:50.88","0.355,0.219,0.199","Ia"
"SDSS-II SN 15529","02:56:06.168","+00:04:20.04,+00:04:19.74","","Ia"
"SDSS-II SN 15592","21:21:52.169,21:21:52.08","-01:10:42.37,-01:10:42.6,-01:10:42.384,-01:10:42.312","0.415635","Ia"
"SDSS-II SN 15967","01:28:20.240,01:28:20.232,01:28:20.208","-00:46:15.48,-00:46:15.4812,-00:46:15.4308,-00:46:15.8124","0.374,0.323,0.332,0.337","Ia"
"SDSS-II SN 16130","03:27:05.962,03:27:05.952","+00:09:28.22,+00:09:27.83,+00:09:27.81","0.325,0.315,0.276","Ia"
"SDSS-II SN 16225","02:26:02.926,02:26:02.88,02:26:02.928","+00:15:40.41,+00:15:40.1,+00:15:40.385,+00:15:40.09","0.0192","Ia"
"SDSS-II SN 16460","00:44:02.322,00:44:02.304,00:44:02.328","-00:13:47.88,-00:13:48.144,-00:13:47.8812,-00:13:47.874,-00:13:48.126","0.281988","Ia"
"SDSS-II SN 16652","00:22:43.15,00:22:43.0992,00:22:43.0776","+00:00:45.1,+00:00:44.87,+00:00:44.59","0.23934","Ia"
"SDSS-II SN 17928","23:53:52.800,23:53:52.8","+01:06:51.30,+01:06:52.668,+01:06:53.028,+01:06:52.884","0.197393","Ia"
"SDSS-II SN 18324","00:25:31.467,00:25:31.4,00:25:31.4664,00:25:31.44","+00:47:37.99,+00:47:37.54,+00:47:37.993,+00:47:37.946,+00:47:37.547","0.266984","Ia"
"SDSS-II SN 18824","01:33:36.347,01:33:36.336,01:33:36.36","+01:11:26.81,+01:11:26.52,+01:11:26.808,+01:11:26.772","0.388,0.407,0.348","Ia"
"SDSS-II SN 18884","21:45:03.130,21:45:03.12","-00:56:59.68,-00:56:59.856,-00:56:59.676,-00:56:59.5176,-00:56:59.8416","0.155,0.54","Ib/c"
"SDSS-II SN 19336","23:55:30.602,23:55:30.48,23:55:30.72","+00:15:50.36,+00:15:50.11,+00:15:50.44","0.386,0.427,0.361","Ia"
"SDSS-II SN 19424","22:26:29.459,22:26:29.52","+00:57:07.43,+00:57:07.434,+00:57:07.4664,+00:57:07.0956","0.364553","Ia"
"SDSS-II SN 19467","22:43:51.594,22:43:51.6","-00:58:36.82,-00:58:37.092,-00:58:36.822,-00:58:36.7824,-00:58:37.1028","0.302,0.135,0.126","Ia"
"SDSS-II SN 19555","01:03:23.64,01:03:23.616","+00:18:10.35,+00:18:09.99","","Ia"
"SDSS-II SN 20272","01:08:52.422,01:08:52.416,01:08:52.392","-00:01:16.01,-00:01:16.428,-00:01:16.0068,-00:01:15.9744,-00:01:16.4172","0.414,0.397,0.615","Ia"
"SDSS-II SN 20394","21:55:52.8","-01:09:11.376,-01:09:11.412,-01:09:11.556","0.0757","Ia"
"SDSS-II SN 20435","21:30:15.817,21:30:15.84","+00:33:31.30,+00:33:31.302,+00:33:31.288,+00:33:31.086","0.340192","Ia"
"SDSS-II SN 20998","01:12:05.592,01:12:05.544","+00:09:35.53,+00:09:35.57,+00:09:35.212","0.359106","Ia"
"SDSS-II SN 21413","23:38:51.84","+00:50:24.4,+00:50:24.277,+00:50:24.043","0.456731","Ia"
"SDSS-II SN 3508","01:03:17.71,01:03:17.712","-00:10:44.4,-00:10:44.3892,-00:10:44.4288,-00:10:44.778","0.4967","Ia"
"SDSS-II SN 4019","00:05:02.863,00:05:02.8008,00:05:02.8344,00:05:02.8296","+01:08:46.66,+01:08:43.224,+01:08:43.512,+01:08:43.476","0.181,0.181404","Ia"
"SDSS-II SN 5812","20:40:15.84","-00:42:55.8684,-00:42:56.2212","","Ia"
"SDSS-II SN 6216","22:59:59.04","-00:26:39.5484,-00:26:39.8652","0.175564","Ia"
"SDSS-II SN 6326","20:48:03.421,20:48:03.36","-00:48:34.63,-00:48:34.632,-00:48:34.6608,-00:48:34.8876","0.2228","Ia"
"SDSS-II SN 6873","03:30:10.44","+00:46:18.05,+00:46:17.738","","Ia"
"SDSS-II SN 7119","21:03:57.36","-00:04:13.2348,-00:04:13.476","","Ia"
"SDSS-II SN 7127","01:05:25.704,01:05:25.68","+01:09:50.508,+01:09:50.148","","Ia"
"SDSS-II SN 7357","21:26:32.641,21:26:32.64","-00:21:45.35,-00:21:45.576,-00:21:45.3492,-00:21:45.288,-00:21:45.5832","0.392,0.392,0.337,0.644,0.711","Ia"
"SDSS-II SN 7713","00:46:38.784","-01:15:21.6,-01:15:21.564,-01:15:21.852","0.325,0.284","Ia"
"SDSS-II SN 7794","00:22:02.136,00:22:02.112","+00:04:29.65,+00:04:29.4","","Ia"
"SDSS-II SN 841","03:13:59.04","-01:00:36.072,-01:00:36,-01:00:36.216","0.2991","Ia"
"SN2005mp","01:04:45.67,01:04:45.7,01:04:45.672,01:04:45.68,01:04:45.679","+00:03:20.3,+00:03:20,+00:03:20.2,+00:03:19.97,+00:03:20.30","0.27,0.27","Ia"
"SN2006kq","21:15:36.49,21:15:36.48,21:15:36.58,21:15:36.581","-00:19:18.2,-00:19:17.04,-00:19:17.148,-00:19:17.436,-00:19:17.1588,-00:19:17.4216,-00:19:17.1,-00:19:17.11","0.1985","Ia"
"SN2006ll","22:07:28.14,22:07:28.08,22:07:28.140","-00:54:12.3,-00:54:12.276,-00:54:12.528,-00:54:12.2868,-00:54:12.5388,-00:54:12.31","0.382,0.38","Ia"
"SN2006oj","01:08:49.20,01:08:49.296,01:08:49.272,01:08:49.30,01:08:49.301","-00:59:22.1,-00:59:22.38,-00:59:22.3908,-00:59:22.812,-00:59:22.4,-00:59:22.42","0.332,0.498","Ia"
"SN2006pf","01:41:45.13,01:41:45.144,01:41:45.12,01:41:45.130","-00:11:20.9,-00:11:20.94,-00:11:21.138,-00:11:20.90","0.365913","Ia"
"SN2006sg","02:08:13.041,02:08:13.04,02:08:13.039","-03:46:21.93,-03:46:21.9,-03:46:21.90,-03:46:21.937","0.4441,0.4451","Ia"
"SN2006ts","02:10:18.686,02:10:18.69,02:10:18.689,02:10:18.687","-03:32:26.32,-03:32:26.3,-03:32:26.30,-03:32:26.335","0.5561,0.5569","Ia-91T"
"SN2007qr","02:52:29.23,02:52:29.232,02:52:29.208,02:52:29.230","-01:08:22.2,-01:08:22.308,-01:08:22.596,-01:08:22.3,-01:08:22.31","0.135691,0.14","Ia"
"SN2007qu","22:32:32.82,22:32:32.88,22:32:32.820","+00:51:32.7,+00:51:32.72,+00:51:32.566,+00:51:32.69","0.304931,0.31","Ia"
"SN2007ra","23:34:24.00,23:34:24,23:34:23.95,23:34:23.950","-00:53:25.2,-00:53:25.2024,-00:53:25.458,-00:53:25.19","0.089163","Ia"
"SN2007rk","03:42:17.376,03:42:17.424,03:42:17.43,03:42:17.431","+01:03:44.17,+01:03:46.872,+01:03:47.304,+01:03:47.3,+01:03:47.30","0.196,0.179","Ia"
"SN2007sh","00:29:24.6744,00:29:24.67,00:29:24.6552,00:29:24.670","+00:49:53.389,+00:49:53.4,+00:49:52.925,+00:49:53.40","0.149566","Ia"
"SN2007ur","02:08:41.59,02:08:41.590,02:08:41.589,02:08:41.591","-03:34:10.5,-03:34:10.60,-03:34:10.55,-03:34:10.527","0.25,0.2491,0.25","Ia?"
"SN2007ut","02:30:23.64,02:30:23.640,02:30:23.638,02:30:23.642","-09:12:20.0,-09:12:20.02,-09:12:20.022","0.406,0.4052","Ia"
"SNLS-05D3ha","14:20:50.432","+52:50:02.53,+52:50:02.530","0.805,0.805","Ia"
"SNLS-06D4cl","22:16:57.053","-17:27:02.28,-17:27:02.280","1,1","Ia"
"PS1-10caz","08:47:16.862,08:47:16.863","+45:17:51.44","0.43","Ia"
"PS1-14aly","09:21:42.02","+16:50:42.6","0.08","Ia"
"PSc000349","08:44:03.615","+44:43:39.31","0.4818","Ia"
"PSc070020","23:32:52.053","-00:45:33.47","0.25898","Ia"
"PSc080252","02:24:41.569","-03:47:00.06","0.51168","Ia"
"PSc080343","03:37:28.646","-27:43:23.52","0.45027","Ia"
"PSc080771","03:28:16.421","-28:08:49.41","0.26109","Ia"
"PSc091739","02:27:58.329","-04:01:29.39","0.37306","Ia"
"PSc100358","23:29:46.670,23:29:46.667,23:29:46.664","+00:35:25.82,+00:35:25.86","0.36","Ia"
"PSc120567","10:42:18.175","+58:14:11.79","0.35504","Ia"
"PSc120706","09:58:43.172","+02:25:59.47","0.32941","Ia"
"PSc130391","14:11:41.445","+54:13:17.56","0.37029","Ia"
"PSc140320","10:38:40.896","+57:22:26.32","0.40412","Ia"
"PSc160183","12:14:36.859","+47:34:37.44","0.27449","Ia"
"PSc180475","16:16:00.248","+54:06:03.71","0.44213","Ia"
"PSc310147","03:35:04.837","-28:39:13.14","0.33777","Ia"
"PSc310220","02:19:29.137","-03:48:12.65","0.36009","Ia"
"PSc330016","02:20:20.865","-03:46:30.62","0.32869","Ia"
"PSc330022","02:21:17.780","-02:56:56.85","0.26411","Ia"
"PSc350181","08:44:20.712","+44:14:20.51","0.42384","Ia"
"PSc350335","10:47:07.927","+57:25:39.22","0.34939","Ia"
"PSc360647","14:14:41.356","+52:24:09.37","0.48292","Ia"
"PSc390629","14:07:32.775","+54:01:31.03","0.41027","Ia"
"PSc440488","23:29:54.910","-01:21:05.79","0.53357","Ia"
"PSc450238","23:27:28.087","+00:06:59.31","0.34333","Ia"
"PSc480042","10:50:48.810","+57:55:04.11","0.44675","Ia"
"PSc480500","12:20:37.343","+48:11:18.09","0.32367","Ia"
"PSc500091","08:41:30.619","+44:19:03.62","0.33976","Ia"
"PSc540118","23:27:17.417","-00:02:53.05","0.47533","Ia"
"PSc550211","23:26:27.819","+00:07:04.19","0.2805","Ia"
"PSc570070","22:14:27.903","+01:03:30.44","0.24906","Ia"
"PSc580319","08:40:30.243","+44:14:33.21","0.30744","Ia"
"PSc590194","08:40:56.865,08:40:56.86","+44:31:27.56,+44:31:27.4","0.09016","Ia"
"PTF10ncy","16:50:20.18,16:50:20.16","+46:58:07.0,+46:58:06.96","0.13","Ia"
"PTF10nkd","15:45:21.41,15:45:21.6","+52:13:50.5,+52:13:48.72","0.0676","Ia"
"PTF10nlg","16:50:34.524,16:50:34.56,16:50:34.55","+60:16:34.51,+60:16:34.68,+60:16:34.6","0.0562,0.0568,0.0605","Ia"
"PTF10rks","20:50:28.41,20:50:28.32","-04:03:07.3,-04:03:07.344","0.058","Ia"
"PTF11jgq","17:55:28.99,17:55:29.04","+45:32:27.2,+45:32:27.24","0.129","Ia"
"PTF12emp","13:13:53.66","+34:06:59.7","0.03","Ia"
"PS15aic","13:30:48.48,13:30:48.49","+38:06:32.6,+38:06:32.4","0.056","Ia-02cx"
"PS15aqz","23:25:52.26","+25:38:20.2","0.029","Ia"
"PS15mb","08:59:40.13,08:59:40.20","+15:11:12.4,+15:11:12.5","0.0287","Ia"
"PS15zd","15:07:49.77","+02:13:55.0","0.091","Ia"
"SN2015B","12:54:35.53,12:54:35.530,12:54:35.46","-12:34:18.6,-12:34:18.59,-12:34:19.2","0.015","Ia"
"SN2016amm","12:05:12.413,12:05:12.41","-08:51:25.62,-08:51:25.5","","Ia"
"SN2016cqv","21:06:11.502,21:06:11.500,21:06:11.50","-25:10:40.05,-25:10:40.0","0.039","Ia"
"SN2016csr","15:14:31.036,15:14:31.040,15:14:31.06,15:14:31.2","+06:41:14.28,+06:41:13.9,+06:41:14.064","0.05,0.05","Ia"
"SN2016eyn","03:26:16.800,03:26:16.776","+17:03:46.20,+17:03:46.15,+17:03:46.08","0.065,0.065","Ia"
"SN2016flu","23:47:11.642,23:47:11.640,23:47:11.72,23:47:11.76,23:47:11.64","+10:04:59.56,+10:04:59.7,+10:04:59.52","0.034,0.034,0.025","Ia"
"SN2016for","21:48:10.539,21:48:10.540,21:48:10.53","+26:28:31.53,+26:28:31.4","0.07,0.07","Ia"
"SN2016gmh","00:56:06.587,00:56:06.580,00:56:06.58","+14:20:44.66,+14:20:44.60,+14:20:44.6","0.08389,0.08389","Ia"
"SN2016hhv","23:35:48.477,23:35:48.480","+20:42:31.62","0.062,0.062","Ia"
"SN2016iou","01:24:26.610,01:24:26.611,01:24:26.616,01:24:26.60,01:24:26.592,01:24:26.61","-02:08:26.05,-02:08:26.052,-02:08:25.9,-02:08:25.908","0.042,0.042","Ia"
"SN2017acq","05:00:18.534,05:00:18.530,05:00:18.52","+71:12:09.91,+71:12:09.9","0.065","Ia"
"SN2017ah","11:10:01.955,11:10:01.960,11:10:01.92,11:10:01.98","+63:38:34.16,+63:38:36.24,+63:38:36.2,+63:38:34.08","0.032863,0.032863","Ia"
"SN2017cjr","12:42:50.768,12:42:50.633,12:42:50.64","-30:24:43.65,-30:24:43.42,-30:24:43.56,-30:24:43.2","0.01444,0.01444,0.01444","Ia"
"SN2017coa","08:49:55.490","+56:05:57.00","0.04,0.04","Ia"
"SN2017dhd","11:23:19.512,11:23:19.510,11:23:19.50,11:23:19.44","+05:47:59.66,+05:47:59.6,+05:47:59.856","0.067,0.067","Ia"
"SN2017dij","13:27:23.007,13:27:23.010,13:27:23.00,13:27:23.04","-02:48:20.09,-02:48:19.9,-02:48:20.088","0.096,0.096","Ia"
"SN2017ezl","21:30:58.022,21:30:58.020,21:30:58.02","-07:05:05.81,-07:05:05.7","0.028,0.028","Ia"
"SN2017frr","01:20:55.600,01:20:55.501,01:20:55.608,01:20:55.488","-43:08:53.38,-43:08:53.53,-43:08:53.52","0.027","Ia"
"SN2017gto","00:12:03.844,00:12:03.840,00:12:03.88","+01:06:12.25,+01:06:12.0","0.086,0.086","Ia"
"SN2017hzv","09:39:12.132,09:39:12.257,09:39:12.28,09:39:12.24","-01:20:21.88,-01:20:22.98,-01:20:22.7,-01:20:22.992","0.037","Ia"
"SN2017pl","14:59:30.775,14:59:30.780,14:59:30.70,14:59:30.72","+46:37:58.07,+46:37:58.0,+46:37:58.08","0.097","Ia"
"SN2017yd","10:55:59.266,10:55:59.270,10:55:59.29","+11:55:15.11,+11:55:14.9","0.078","Ia"
"SN2018aqa","09:12:20.182,09:12:20.282,09:12:20.4","+13:40:22.12,+13:40:23.60,+13:40:23.52","0.02883,0.02883","Ia"
"SN2018avu","10:40:15.600,10:40:15.602,10:40:15.6","+01:53:17.52","0.08,0.08","Ia"
"SN2018bfe","13:01:55.377,13:01:55.380,13:01:55.36","+07:36:06.07,+07:36:06.5","0.060885,0.060885","Ia"
"SN2018coi","16:18:57.981,16:18:57.980,16:18:57.98","+56:43:00.77,+56:43:00.8","0.0594,0.0594","Ia"
"SN2018cvh","15:07:58.600,15:07:58.56","+01:13:56.63,+01:13:56.604","0.035158","Ia"
"SN2018dcm","17:25:41.474,17:25:41.470,17:25:41.52,17:25:41.48","+23:52:08.96,+23:52:08.76,+23:52:08.7","0.0638,0.0638","Ia"
"SN2018evf","23:09:35.806,23:09:35.810,23:09:35.82","+05:35:12.16,+05:35:12.1","0.06,0.06","Ia"
"SN2018hee","03:38:40.321,03:38:40.320,03:38:40.36","+07:39:49.43,+07:39:48.8","0.034264","Ia"
"SN2018hoy","01:40:28.240,1:40:28.2432,01:40:28.24,01:40:28.248","+03:33:22.94,+03:33:22.9464,+03:33:23.0,+03:33:23.688","0.06,0.06","Ia"
"SN2018ilu","23:33:20.983,23:33:20.980,23:33:20.88","+04:48:34.66,+04:48:34.668,+04:48:34.704","0.0179","Ia"
"SN2018isf","10:10:53.851,10:10:53.850,10:10:53.85","+06:45:15.20,+06:45:15.2","0.0766,0.0766","Ia"
"SN2018jfb","11:27:27.262,11:27:27.36","+33:37:02.35,+33:37:02.28,+33:37:01.92","0.049829","Ia"
"SN2018jqp","14:56:30.730,14:56:30.728,14:56:30.72","+23:50:01.68","0.034994","Ia"
"SN2019sw","09:57:18.910,09:57:18.96","+04:35:07.50,+04:35:08.268","0.12,0.12","Ia"
"SN1997ac","08:24:05.21,08:24:05.210","+04:11:22.6,+04:11:22.60","0.32,0.32,0.32","Ia"
"SN1997cv","13:35:20.77,13:35:20.770","-34:12:11.6,-34:12:11.59","0.024,0.024","nIa"
"SN1997dt","23:00:02.97,23:00:02.93,23:00:02.930","+15:58:50.5,+15:58:50.9,+15:58:50.92","0.007318","Ia"
"SN2001jh","02:29:00.29,02:29:00.290","+00:20:44.2,+00:20:44.20","0.884,0.885","Ia"
"SN2002bs","13:18:30.30,13:18:30.300","-14:36:31.8,-14:36:31.79","0.00964","Ia"
"SN2002fw","03:32:37.511,03:32:37.52,03:32:37.519","-27:46:46.40,-27:46:46.6,-27:46:46.60","1.3,1.3,1.3","Ia"
"SN2003le","01:08:08.73,01:08:08.729,01:08:08.738,01:08:08.739","+00:27:09.7,+00:27:09.74,+00:27:09.68,+00:27:09.79,+00:27:09.580","0.558,0.5569,0.561","Ia"
"SNLS-03D4gg","22:16:40.190,22:16:40.185","-18:09:52.05,-18:09:52.050,-18:09:51.82","0.592,0.592","Ia"
"SNLS-04D1aj","02:25:53.960,02:25:53.982","-04:59:40.60,-04:59:40.600,-04:59:40.50","0.721,0.721","Ia"
"SNLS-04D3fq","14:16:57.885,14:16:57.906,14:16:57.902","+52:22:46.10,+52:22:46.100,+52:22:46.53,+52:22:46.46","0.742","Ia"
"SNLS-04D3ml","14:16:39.068,14:16:39.107,14:16:39.095","+53:05:35.71,+53:05:35.710,+53:05:35.66,+53:05:35.89","0.95,0.95","Ia"
"ESSENCEm022","23:30:02.70,23:30:02.706","-08:33:36.6,-08:33:36.57,-08:33:36.539","0.24,0.2388,0.24","Ia"
"ESSENCEm043","23:29:51.73,23:29:51.729","-08:56:46.1,-08:56:46.07,-08:56:46.084","0.2638,0.2654","Ia"
"ESSENCEp455","02:11:00.02,02:11:00.014","-04:09:37.6,-04:09:37.59,-04:09:37.601","0.2961,0.2974","Ia"
"ESSENCEs354","02:06:10.482","-05:05:23.000","0.5581,0.5588","Ia?"
"PSc150145","12:28:21.218","+47:17:18.80","0.22465","Ia"
"PTF09gul","01:28:23.90,01:28:23.904","+33:51:40.7,+33:51:40.32","0.0725","Ia"
"SDSS-II SN 10997","20:33:41.28","+00:31:15.51,+00:31:15.575,+00:31:15.388","0.102,0.0959","Ia"
"SDSS-II SN 13378","02:26:10.224,02:26:10.2","+01:08:47.184,+01:08:46.824","0.305136","Ia"
"SDSS-II SN 13441","23:07:48.720,23:07:48.72","-00:13:58.76,-00:13:58.98,-00:13:58.764,-00:13:58.7424,-00:13:58.998","0.28876","Ia"
"SDSS-II SN 13659","03:06:42.624","-01:02:28.86,-01:02:28.716,-01:02:29.004","0.287,0.255","Ia"
"SDSS-II SN 13786","00:38:20.2656,00:38:20.256","-00:45:16.002,-00:45:16.326","","Ia"
"SDSS-II SN 13971","01:34:38.472,01:34:38.448","+01:14:11.04,+01:14:10.752","0.261899","Ia"
"SDSS-II SN 14260","03:32:57.24,03:32:57.216","-00:07:31.0728,-00:07:31.3068","0.3667","Ia"
"SDSS-II SN 14539","01:52:58.34,01:52:58.344,01:52:58.368","+00:30:18.9,+00:30:18.94,+00:30:19.278,+00:30:18.932","0.379","Ia"
"SDSS-II SN 14588","03:10:45.422,03:10:45.408,03:10:45.432","-00:46:36.23,-00:46:36.444,-00:46:36.228,-00:46:36.1596,-00:46:36.426","0.372,0.361,0.313","Ia"
"SDSS-II SN 15119","02:32:29.426,02:32:29.424,02:32:29.448,02:32:29.4","+01:05:26.12,+01:05:26.124,+01:05:26.304,+01:05:26.088","0.247,0.522","Ia"
"SDSS-II SN 15289","22:17:43.956,22:17:43.92","-01:11:54.82,-01:11:55.14,-01:11:54.816","0.376,0.148,0.137","Ia"
"SDSS-II SN 15385","03:38:13.272,03:38:13.296","+00:24:14.022,+00:24:14.116,+00:24:13.817","0.216,0.196","Ia"
"SDSS-II SN 15418","00:55:23.138,00:55:23.136,00:55:23.112","+01:00:46.13,+01:00:46.152,+01:00:46.08,+01:00:45.756","0.365,0.315,0.451","Ia"
"SDSS-II SN 15455","22:00:19.333,22:00:19.2,22:00:19.44","-01:03:04.91,-01:03:05.112,-01:03:04.932,-01:03:04.968","0.407071","Ia"
"SDSS-II SN 15697","02:00:03.936,02:00:03.912","+00:46:34.655,+00:46:34.633,+00:46:34.327","0.127","Ia"
"SDSS-II SN 15730","23:59:41.76","-00:02:30.408,-00:02:30.39,-00:02:30.6024","0.291,0.258","Ia"
"SDSS-II SN 15751","03:36:06.780,03:36:06.768,03:36:06.792","-00:03:06.02,-00:03:06.336,-00:03:06.0228,-00:03:06.0732","0.331,0.321,0.281","Ia"
"SDSS-II SN 15934","22:40:08.64","+00:12:43.362,+00:12:43.247,+00:12:43.009","0.253","Ia"
"SDSS-II SN 15988","00:25:00.91,00:25:00.84,00:25:00.8208","+00:00:32.2,+00:00:30,+00:00:32.9","0.361309","Ia"
"SDSS-II SN 16048","02:23:22.30,02:23:22.512,02:23:22.488","-00:40:56.7,-00:40:57.6948,-00:40:57.9108","0.380767","Ia"
"SDSS-II SN 16090","02:26:06.744,02:26:06.72","+00:37:27.368,+00:37:27.037","0.502136","Ia"
"SDSS-II SN 16301","21:50:06.96","+01:01:59.916,+01:01:59.952,+01:01:59.7","0.194,0.177","Ia"
"SDSS-II SN 16356","21:12:48.435,21:12:48.48","-00:34:02.26,-00:34:02.262,-00:34:02.3952,-00:34:02.604","0.399335","Ia"
"SDSS-II SN 16417","00:49:22.770,00:49:22.776,00:49:22.752","+01:12:52.78,+01:12:52.776,+01:12:52.92,+01:12:52.632","0.292421","Ia"
"SDSS-II SN 16565","01:00:35.256,01:00:35.232","-00:04:38.4852,-00:04:38.6004,-00:04:38.8524","0.371812","Ia"
"SDSS-II SN 16572","23:43:56.4","+00:20:29.555,+00:20:29.234","","Ia"
"SDSS-II SN 16584","22:37:01.983,22:37:01.92","-00:27:52.25,-00:27:52.2468,-00:27:52.3296,-00:27:52.7184","0.393346","Ia"
"SDSS-II SN 16759","23:42:08.4","+01:07:29.136,+01:07:28.74","","Ia"
"SDSS-II SN 16841","01:35:18.24,01:35:18.216","+00:09:26.53,+00:09:26.305","","Ia"
"SDSS-II SN 16976","01:55:10.848","-00:24:43.128,-00:24:43.1532,-00:24:43.4412","0.0607","Ib/c"
"SDSS-II SN 17099","00:32:49.4232,00:32:49.3992","+01:05:39.264,+01:05:39.084","","Ia"
"SDSS-II SN 17337","02:12:03.12","+00:14:04.1172,+00:14:04.038,+00:14:03.8004","0.265,0.237","Ia"
"SDSS-II SN 17667","02:29:25.032","-00:49:10.7256,-00:49:11.0064","","Ia"
"SDSS-II SN 17949","01:56:49.235,01:56:49.2,01:56:49.224","-00:14:07.91,-00:14:08.052,-00:14:07.908,-00:14:07.8792,-00:14:08.0592","0.264127","Ia"
"SDSS-II SN 18917","03:45:32.112,03:45:32.088","+00:02:20.27,+00:02:20.24,+00:02:19.95","0.163","Ia"
"SDSS-II SN 18941","00:40:47.352,00:40:47.328","-00:06:41.2488,-00:06:41.5404","","Ia"
"SDSS-II SN 18973","02:22:53.04","+01:14:53.16,+01:14:53.052,+01:14:52.908","0.555,0.451","Ia"
"SDSS-II SN 19346","01:57:40.176,01:57:40.2,01:57:40.152","+00:19:38.96,+00:19:39.029,+00:19:38.694","0.361973","Ia"
"SDSS-II SN 19352","02:41:19.117,02:41:19.104,02:41:19.128","+00:15:11.66,+00:15:11.27,+00:15:11.63,+00:15:11.275","0.334,0.233","Ia"
"SDSS-II SN 19417","21:55:40.08,21:55:40.32","+00:30:17.9,+00:30:07.218,+00:30:07.0128","0.664,0.687","Ia"
"SDSS-II SN 19461","03:54:48.624,03:54:48.6","-00:42:42.012,-00:42:42.0588,-00:42:42.2856","0.244","Ia"
"SDSS-II SN 19668","23:47:44.88","-00:37:41.1,-00:37:41.4048,-00:37:41.8224","0.407113","Ia"
"SDSS-II SN 20128","20:29:24,20:29:23.76","+00:11:16.4,+00:11:16.397,+00:11:16.076","0.196,0.179","Ia"
"SDSS-II SN 20467","01:20:04.75,01:20:04.776","+00:54:48.6,+00:54:48.31,+00:54:48.618,+00:54:48.298","0.27095","Ia"
"SDSS-II SN 20877","00:39:08.8152,00:39:08.8056,00:39:08.784","+00:30:51.037,+00:30:51.224,+00:30:50.828","0.288,0.255","Ia"
